INFO 2024-06-17 01:39:05,262 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-17 01:39:05,263 autoreload Waiting for apps ready_event.
DEBUG 2024-06-17 01:39:05,448 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-17 01:39:05,473 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\NotificationModule\templates with glob **/*.
DEBUG 2024-06-17 01:39:05,474 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\NotificationModule\NotifyMe\templates with glob **/*.
DEBUG 2024-06-17 01:39:05,475 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-06-17 01:39:05,475 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\NotificationModule\locale with glob **/*.mo.
DEBUG 2024-06-17 01:39:05,480 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\daphne\locale with glob **/*.mo.
DEBUG 2024-06-17 01:39:05,481 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\NotificationModule\NotifyMe\locale with glob **/*.mo.
DEBUG 2024-06-17 01:39:05,481 autoreload Watching dir C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-06-17 01:39:05,555 utils (0.016) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-06-17 01:39:05,558 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-06-17 01:39:05,564 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-06-17 01:39:05,566 runserver Daphne running, listening on 127.0.0.1:8000
